Commit;Author;DOW;Month;DOM;Hour;Minute;Second;Year;TZ
dce0315ccb56b24ec6dfdf810c8c992f2b58efdc;PinkDraconian;Tue;Nov;26;18;00;57;2019;+0000
a8de4f903f1b2aec96abf3f1d8372aec3e6a39be;PinkDraconian;Tue;Nov;26;17;58;27;2019;+0000
42223652ea72de7a3a98601fdfa78beb216fe638;Dennis Yurichev;Tue;Nov;26;19;56;37;2019;+0200
3528de9e365c09ef6e0ab994569b3919300be30f;Dennis Yurichev;Tue;Nov;26;19;56;28;2019;+0200
a1c37a523e130084c7063c1c63a350f74bb11c46;Dennis Yurichev;Tue;Nov;26;19;47;36;2019;+0200
413dfe4bb9116efb6eec9a39fabc943417d65e53;PinkDraconian;Tue;Nov;26;15;35;12;2019;+0000
a6434ecd593d0c79f190ad458cf910f4f7b70bff;Dennis Yurichev;Tue;Nov;26;14;14;38;2019;+0200
4210619d29e34782f586e2f06f28a7bc013cc645;Dennis Yurichev;Tue;Nov;26;14;13;49;2019;+0200
c87b5a06c2164032a902f5b9219948bd596fa9e1;Dennis Yurichev;Tue;Nov;26;14;06;35;2019;+0200
80aff7c1f0c93678fa01740dc46b768c248bb151;Dennis Yurichev;Mon;Nov;25;16;02;53;2019;+0200
253174c64c6b80c256b29dde74ceaa6ce1da6f5a;Dennis Yurichev;Mon;Nov;25;15;15;06;2019;+0200
ae6bee8cefe400880b8abc989ad1a25e980e5af9;Dennis Yurichev;Mon;Nov;25;13;58;20;2019;+0200
0d3f6a855edc4fbab161f64a8dd0bafa9a7b0397;Dennis Yurichev;Mon;Nov;25;04;23;17;2019;+0200
64f8c5480dcce96d6da69744729a3d8a4ebf18f5;Marc Remy;Sun;Nov;24;18;34;53;2019;+0100
71a4f6d6e651ad179cc0c6e64bd5894d825cfe54;Marc Remy;Sun;Nov;24;18;20;32;2019;+0100
420323b2da1e62fda68d77a8939238887080f8dd;Marc Remy;Sun;Nov;24;17;48;32;2019;+0100
143c6d8416d83ba6f5c47c944dcc0d5dec6a8778;Marc Remy;Sun;Nov;24;17;08;26;2019;+0100
bd083b1f6c10032dedd35cd095fd5485c9044560;Dennis Yurichev;Sun;Nov;24;17;27;51;2019;+0200
9659f973464b41c56db775c8cca8281bda501c69;Dennis Yurichev;Sun;Nov;24;16;40;53;2019;+0200
030e56806117808edc9bb17cf3a0356409c7788a;Dennis Yurichev;Sun;Nov;24;16;02;03;2019;+0200
a7936fa8ba5fc5331890be1b2341c2284d7dd591;Dennis Yurichev;Sun;Nov;24;15;06;13;2019;+0200
931717ae17178330edc5f16c029f9a099803763c;Dennis Yurichev;Sun;Nov;24;12;22;16;2019;+0200
daa72da2ce00857829f31723568605bb0c855fa8;Dennis Yurichev;Sun;Nov;24;12;20;34;2019;+0200
33ccb3f3a67f8c141d599d3ff0c5cf04417c8806;Marc Remy;Sun;Nov;24;11;19;28;2019;+0100
bbd942435f348d30d26aa37ce88186326f60bb2f;Marc Remy;Sun;Nov;24;10;56;20;2019;+0100
6628871d961104b965f21dade963c4822bf4ad55;Marc Remy;Sun;Nov;24;09;30;21;2019;+0100
6c2b7ead0cb01873dce81bf0c5ef317e66465067;Marc Remy;Sat;Nov;23;11;55;11;2019;+0100
622ebf0b316904e4b2bcceee6381138799e04feb;Dennis Yurichev;Sun;Nov;24;11;30;24;2019;+0200
fa4c34618a5240eeb8c1b6cc52ca908fca0dddb6;Dennis Yurichev;Sun;Nov;24;11;17;36;2019;+0200
d39aa7f3cbafbfa778ee052f2ba16f2ea199a6b6;Dennis Yurichev;Sat;Nov;23;16;40;46;2019;+0200
66dc80e64a8f2f8395558bafd248c44d2349ddc7;Dennis Yurichev;Sat;Nov;23;15;48;26;2019;+0200
5cac05f368bc0e6dc4223df5b2bf055fa9c126e0;Dennis Yurichev;Sat;Nov;23;15;41;19;2019;+0200
73209e83c895ccc7505d0c8bf13017bf0ac3d9d8;Dennis Yurichev;Sat;Nov;23;14;59;46;2019;+0200
c720891c0da1572e33e1463761f6712a3e0622ca;Dennis Yurichev;Sat;Nov;23;10;55;32;2019;+0200
ef02d9fd26c3641526a3058376f19ee88cb364d2;Dennis Yurichev;Sat;Nov;23;06;55;11;2019;+0200
37526a5e011e1b72d5ebe9ebff79f1e78accc6dc;Dennis Yurichev;Sat;Nov;23;05;00;40;2019;+0200
1cacf36d5c72231ae8599b79d3026bf3f72f45a4;Dennis Yurichev;Sat;Nov;23;05;00;34;2019;+0200
06fb0741c6f30691b004da05f799842dcc70012d;Dennis Yurichev;Sat;Nov;23;04;48;11;2019;+0200
6a6d327a79f58522f2bbea7edba4568e8fe87fb4;Marc Remy;Fri;Nov;22;22;13;22;2019;+0100
5b2a9c5b75b2e72c1b14c4c538bf0f483d58f3dc;Marc Remy;Fri;Nov;22;22;08;03;2019;+0100
80a87241a5d2cd494003499355dde768b8d85705;Marc Remy;Fri;Nov;22;22;02;11;2019;+0100
aa0a25fe877418e6fd79042fb2ce49619ef5f6d1;Dennis Yurichev;Thu;Nov;21;11;19;26;2019;+0200
23397579cfdfa1519f60dd942629d3cd792b8448;Marc Remy;Thu;Nov;21;07;10;45;2019;+0100
59cba8b1af9fc6e834a6a7e6cbb0b9dd4103988e;Marc Remy;Thu;Nov;21;04;24;45;2019;+0100
7133e40d9e923a698789ad7aeef01615449375f2;Marc Remy;Tue;Nov;19;22;46;30;2019;+0100
0000fec8358e60034886e30fb860065954f0aec4;Dennis Yurichev;Wed;Nov;20;23;58;04;2019;+0200
1edf7b33d1e0e544210238aeaf7b6729601c12a6;Dennis Yurichev;Wed;Nov;20;23;56;44;2019;+0200
b3bc8c679bf47db0e2ae3f88320bc2d1262d2b1e;Dennis Yurichev;Wed;Nov;20;23;41;40;2019;+0200
8abc9f2adad869a974c126f0d7c87001dce7974d;Dennis Yurichev;Wed;Nov;20;23;41;33;2019;+0200
f9a5fe21c35397356286523d7d9dbdc0415c19bc;Dennis Yurichev;Wed;Nov;20;23;40;37;2019;+0200
594797c86b26e9ce8ea871cf89f481a0e5e1e9c8;internaut401;Wed;Nov;20;16;47;35;2019;+0100
1c104fc2e8dba4140a523a6ff4b9363ec7a2924a;internaut401;Wed;Nov;20;08;54;26;2019;+0100
9e0fdee1df1e7a74e115737aef626a97e96a240e;internaut401;Wed;Nov;20;08;48;44;2019;+0100
e5880b723bbe05186fd7a0431d9f99e4942d029e;internaut401;Wed;Nov;20;07;56;18;2019;+0100
72c433a07962742506b783d27738a57df2264b18;Dennis Yurichev;Wed;Nov;20;01;13;12;2019;+0200
ad0b4c6e3551ea13fd0aad7d4307868f7ee3027e;Dennis Yurichev;Wed;Nov;20;00;55;22;2019;+0200
46a10acffccc9e6da71bc76ebaf57b4a16621f75;Dennis Yurichev;Wed;Nov;20;00;41;18;2019;+0200
560e23a978cf901b8a884cf0a579305403062d93;Dennis Yurichev;Wed;Nov;20;00;27;17;2019;+0200
0fa0c977ad9e80b885f9f1e307f6de934407e2d5;Dennis Yurichev;Wed;Nov;20;00;14;37;2019;+0200
89a6eda9c745af8a65a55a3c46d68724eac02a32;Dennis Yurichev;Tue;Nov;19;23;39;28;2019;+0200
86acfcc75c8aa486cb9343b54df789ebc940fdf8;Dennis Yurichev;Tue;Nov;19;23;16;44;2019;+0200
9cebd01b551775793d5332a62709c5db934010ae;Dennis Yurichev;Tue;Nov;19;23;16;39;2019;+0200
cdc67c53b78ef1b3d0b950501e97643209cf4d55;Dennis Yurichev;Tue;Nov;19;23;16;25;2019;+0200
35f445b3abe702ab3dc97aa70752204a15a792bd;Marc Remy;Tue;Nov;19;22;07;25;2019;+0100
781f69fe547edd2017a56139dffd8dc4311ceb62;Marc Remy;Tue;Nov;19;22;00;33;2019;+0100
af12d39deb37a332925dc130a54f79afa92384ff;Marc Remy;Tue;Nov;19;21;40;23;2019;+0100
6dcd3005a815e511b155d187334964bebb302286;Marc Remy;Tue;Nov;19;21;20;30;2019;+0100
00ed0d65d962a66f5e22cc3ca1f5521648c4e36b;Marc Remy;Mon;Nov;18;17;21;57;2019;+0100
44230c2405c663ced0042b3ffd6cfc4e4e948363;Marc Remy;Fri;Nov;15;12;43;58;2019;+0100
